format	definitions	instances	example
Int32	15	101	https://raw.githubusercontent.com/rafael-pinho/docker-examples/master/docker-compose/tdc-sampa-2016-devops-java/node-api/configuration/swagger.json
enum	14	101	https://raw.githubusercontent.com/CiscoPSIRT/openVulnAPI/master/swagger/openVulnAPISwagger0_0_3.yaml
isbn	14	27	https://raw.githubusercontent.com/luxe-eng/koa-spec/master/test/data/query_parameter_string_isbn.yaml
A decimal number encoded as a string. The amount o...	13	93	https://raw.githubusercontent.com/oanda/v20-openapi/master/yaml/separate/v20_transaction.yaml
A string conforming to RFC 3339 (https://tools.iet...	13	212	https://raw.githubusercontent.com/oanda/v20-openapi/master/yaml/separate/v20_transaction.yaml
Signed 32-bit integer	13	42	https://raw.githubusercontent.com/PlexConnectAdmin/WindowsFormApplications/master/Swagger%20files/Test/Tenant.json
Stream	13	35	https://raw.githubusercontent.com/Microsoft/tedchambDocTest/master/TedChambDocTest/swagger/WorkItemTrackingProcessTemplate.json
http status code	13	26	https://raw.githubusercontent.com/PlexConnectAdmin/WindowsFormApplications/master/Swagger%20files/Test/Tenant.json
yyyy-mm-dd	13	106	https://raw.githubusercontent.com/ygirard/NxICAPI/master/Swagger_APISpec.yaml
A decimal number encodes as a string. The amount o...	12	112	https://raw.githubusercontent.com/oanda/v20-openapi/master/yaml/separate/v20_transaction.yaml
array (string)	12	47	https://raw.githubusercontent.com/Microsoft/tedchambDocTest/master/TedChambDocTest/swagger/WorkItemTracking.json
float32	12	59	http://support.beanstream.com/restapi/swagger.json
hostname	12	18	https://raw.githubusercontent.com/sendgrid/sendgrid-oai/master/oai.json
integer32	12	43	https://raw.githubusercontent.com/snowygaming/artspace-api/master/swagger.json
String representation of the numerical OANDA-assig...	11	272	https://raw.githubusercontent.com/oanda/v20-openapi/master/yaml/separate/v20_transaction.yaml
currency	11	32	https://raw.githubusercontent.com/zhuliliang/cloudapi/master/src/main/yaml/quotations.yaml
google-fieldmask	11	49	https://spanner.googleapis.com/$discovery/rest?version=v1
path	11	15	https://raw.githubusercontent.com/Wei1234c/dockerfiles/master/ARMv7/notebook/notebook/services/api/api.yaml
svg	11	11	https://raw.githubusercontent.com/swapnanildeb/raml-testing/master/blockapps-docs/blockapps-docs/dist/swagger.json
xss-token	11	171	https://raw.githubusercontent.com/XiaChen2016/expense-tracker/master/Documents/TrackrAPI(2.1).json
String	10	27	https://raw.githubusercontent.com/yolanda6/test/master/courseAPI-4.json
date-format	10	48	https://watchful.li/api/v1/api-docs/
jwt	10	16	https://api.swaggerhub.com/apis/Vivien/users-api/1.0.0
A decimal number encoded as a string. The amount o...	9	94	https://raw.githubusercontent.com/oanda/v20-openapi/master/yaml/separate/v20_transaction.yaml
YYYY-mm-dd	9	13	https://raw.githubusercontent.com/microKettle/kettle-frontdesk/master/swagger.yaml
csv	9	86	https://raw.githubusercontent.com/SnapMD/virtualcare-api-docs/master/spec/swagger.yaml
object	9	37	https://raw.githubusercontent.com/GorillaArm/adviewers-backend/master/storage/docs/api-docs.json
required	9	360	https://api.swaggerhub.com/apis/shashikant_prodio/CURBSIDE_API/1.0.1
???	8	8	https://raw.githubusercontent.com/zalando-incubator/play-swagger/master/swagger-parser/src/test/resources/examples/hackweek.yaml
Date	8	14	https://raw.githubusercontent.com/xtraclabs/appreg/master/api/swagger.yaml
ISO 8601	8	32	https://raw.githubusercontent.com/BristechSRM/sessions-deprecated/master/Sessions/api.json
URI	8	13	https://raw.githubusercontent.com/webwallet/api/master/api/swagger/swagger.yaml
YYYY	8	8	https://raw.githubusercontent.com/CiscoPSIRT/openVulnAPI/master/swagger/openVulnAPISwagger0_0_3.yaml
data-time	8	16	https://raw.githubusercontent.com/zalando-incubator/play-swagger/master/swagger-parser/src/test/resources/examples/nakadi.yaml
full-date	8	36	https://raw.githubusercontent.com/JenaStark/SwaggerAPI/master/swagger.yaml
hex	8	19	https://raw.githubusercontent.com/webwallet/swagger/master/swagger.yaml
mask	8	164	https://raw.githubusercontent.com/peircechow/peircechow.github.io/master/scripts/swagger_to_markdown/swagger.json
CVE-YYYY-NNNN	7	14	https://raw.githubusercontent.com/CiscoPSIRT/openVulnAPI/master/swagger/openVulnAPISwagger0_0_3.yaml
JContainer	7	8	https://raw.githubusercontent.com/Microsoft/tedchambDocTest/master/TedChambDocTest/swagger/TaskAgent.json
JTokenType	7	8	https://raw.githubusercontent.com/Microsoft/tedchambDocTest/master/TedChambDocTest/swagger/TaskAgent.json
TimeSpan	7	18	https://raw.githubusercontent.com/Microsoft/tedchambDocTest/master/TedChambDocTest/swagger/Utilization.json
bool	7	9	https://raw.githubusercontent.com/eSteemApp/steemapi/master/swagger.json
cisco-sa-XXX	7	14	https://raw.githubusercontent.com/CiscoPSIRT/openVulnAPI/master/swagger/openVulnAPISwagger0_0_3.yaml
ip	7	23	https://raw.githubusercontent.com/ServerChef/serverchef-system-helpers/master/swagger/api.yaml
mail	7	7	https://api.swaggerhub.com/apis/yehuda/kodak-api/1.0.1
objectid	7	59	https://raw.githubusercontent.com/PokeSec/EPManage/master/Management-API.yaml
time-date	7	19	https://raw.githubusercontent.com/ubirch/ubirchApiDocs/master/swaggerDocs/ubirch/chain_service/1.0/ubirch_chain_service_api.yaml
yyyy-mm-ddThh:MM:ssZ	7	8	https://raw.githubusercontent.com/nmdanny/perservant-loans/master/assets/swaggerPersonAPI.json
/^(\d+\.)?(\d+\.)?(\*|\d+)$/	6	111	https://raw.githubusercontent.com/stjosephcontent/app-registry/master/services/nodejs/api/swagger/swagger.yaml
GUID	6	12	https://raw.githubusercontent.com/BrightstarDB/BrightstarDB/master/src/core/BrightstarDB.Server.AspNet/assets/swagger.json
Integer	6	23	https://raw.githubusercontent.com/amadeus-travel-innovation-sandbox/sandbox-content/master/swagger.yml
JToken	6	6	https://raw.githubusercontent.com/Microsoft/tedchambDocTest/master/TedChambDocTest/swagger/Security.json
The string representation of the OANDA-assigned Or...	6	96	https://raw.githubusercontent.com/oanda/v20-openapi/master/yaml/separate/v20_transaction.yaml
The string representation of the OANDA-assigned Tr...	6	82	https://raw.githubusercontent.com/oanda/v20-openapi/master/yaml/separate/v20_transaction.yaml
any	6	23	https://raw.githubusercontent.com/mangoWarrior42/itemfinder/master/target/classes/swagger.yaml
data	6	8	https://raw.githubusercontent.com/AlinaMoskieva/Department/master/target/Department-1.5/WEB-INF/classes/Swagger/swaggerDepartment.yaml
enumeration	6	22	https://raw.githubusercontent.com/corenova/yang-swagger/master/swagger.yaml
filename	6	18	https://raw.githubusercontent.com/Wei1234c/dockerfiles/master/ARMv7/notebook/notebook/services/api/api.yaml
hash	6	19	https://api.swaggerhub.com/apis/ums-dev/HOTSTAR-UM/0.0.1
identityref	6	8	https://raw.githubusercontent.com/corenova/yang-swagger/master/swagger.yaml
inet:uri	6	41	https://raw.githubusercontent.com/corenova/yang-swagger/master/swagger.yaml
integer64	6	17	https://api.swaggerhub.com/apis/lmira/propertyCrossMdpa/1.0.0
leafref	6	161	https://raw.githubusercontent.com/corenova/yang-swagger/master/swagger.yaml
money	6	21	https://api.swaggerhub.com/apis/wenbo-lotusflare/subscription-manager/1.0.0
short	6	43	https://raw.githubusercontent.com/syncore/a2sapi/master/a2sapi-swagger.yaml
uint	6	10	https://raw.githubusercontent.com/open311/schema-validation/master/schema/georeport-v2/swagger.json
utc-millisec	6	48	http://api.docs.import.io/swagger.json
A string containing an ISO 4217 currency (http://e...	5	6	https://raw.githubusercontent.com/oanda/v20-openapi/master/yaml/separate/v20_transaction.yaml
JWT Tokens	5	5	https://raw.githubusercontent.com/zalando-incubator/zally/master/server/src/test/resources/fixtures/api_with_toplevel_scope.yaml
ObjectID	5	179	https://raw.githubusercontent.com/migueloop/mp/master/event-manager/back/api/swagger/swagger.yaml
Standard Thumbnail	5	5	https://raw.githubusercontent.com/NYTimes/public_api_specs/master/most_popular_api/most_popular_api_v2.json
array (int32)	5	13	https://raw.githubusercontent.com/Microsoft/tedchambDocTest/master/TedChambDocTest/swagger/WorkItemTracking.json
color	5	7	https://raw.githubusercontent.com/peircechow/peircechow.github.io/master/scripts/swagger_to_markdown/swagger.json
countryCode	5	5	https://raw.githubusercontent.com/frankvanes/dll-swagger/master/swagger.json
date-time-time	5	5	https://raw.githubusercontent.com/ArmRay/Arm_Ray_App/master/swagger_ui/search/api/swagger.yaml
float64	5	9	https://raw.githubusercontent.com/olebedev/go-tgbot/master/swagger.yaml
in32	5	10	https://raw.githubusercontent.com/asarium/fs2netd-nodejs/master/public/api/v1/swagger.yaml
in64	5	5	https://raw.githubusercontent.com/patrick246/webrtcangular/master/swagger.json
int2	5	16	https://raw.githubusercontent.com/Uniceub-Web-Development-2016-2/Pedro-Velloso/master/swagger.json
int4	5	13	https://raw.githubusercontent.com/Uniceub-Web-Development-2016-2/Paula-Luisa/master/pkmon.yaml
int6	5	5	https://api.swaggerhub.com/apis/timskitour/timstest-alfresco-rest-api/1
int64;	5	10	https://raw.githubusercontent.com/DarkSKull2/careteammodel/master/model/swagger.yaml
local-date-time	5	10	https://raw.githubusercontent.com/MyPureCloud/purecloud_api_sdk_ruby/master/swagger.json
locale	5	26	http://learnifier.com/apidocs/learnifier.json
meta:description	5	9	https://raw.githubusercontent.com/corenova/yang-swagger/master/swagger.yaml
timezone	5	11	http://learnifier.com/apidocs/learnifier.json
urn	5	18	https://api.swaggerhub.com/apis/rjweeks/securemessage/1.0.0
uuid4	5	8	https://raw.githubusercontent.com/Turnierserver/Turnierserver/master/Frontend/api.yaml
Either the Order's OANDA-assigned OrderID or the O...	4	8	https://raw.githubusercontent.com/oanda/v20-openapi/master/yaml/separate/v20_position.yaml
HH:MM	4	4	https://raw.githubusercontent.com/axa-azure-deployment/hackzurich2016-axa/master/rest-app/dist/swagger.yaml
HttpResponseMessage	4	72	https://raw.githubusercontent.com/Microsoft/tedchambDocTest/master/TedChambDocTest/swagger/TestImpact.json
ISO-8601	4	9	https://raw.githubusercontent.com/zalando/innkeeper/master/swagger.yaml
ISO8061	4	6	https://raw.githubusercontent.com/webwallet/api-old/master/api/swagger/swagger.yaml
Single	4	4	https://raw.githubusercontent.com/Microsoft/tedchambDocTest/master/TedChambDocTest/swagger/Work.json
XXX-XXXX-XXXX	4	4	https://api.swaggerhub.com/apis/kjh15011/ThingPlug2User/1.0.0
YYYY-MM-DD-HH-MM-SSSSS	4	8	https://api.swaggerhub.com/apis/kjh15011/ThingPlug2User/1.0.0
YYYYMMDD	4	14	https://raw.githubusercontent.com/mon0051/Angular2TestHarness/master/swagger/swagger.yaml
[0-9]{1,3}	4	4	https://raw.githubusercontent.com/Avalara/developer-dot/master/dynamic/swagger/avataxbr/transactions-api.json
address	4	6	https://api.swaggerhub.com/apis/surveylocal/SurveyLocal/1.0.0
base58	4	8	https://raw.githubusercontent.com/webwallet/swagger/master/swagger.yaml
command separated list	4	4	http://recsvm.rummblelabs.com/api-spec/seldon.json
date_time	4	6	https://raw.githubusercontent.com/ghentlivinglab/Personalized-mobility-information-service-solution-1/master/2015-2016-api-mobiliteitscentrum/swagger.json
dd/mm/yyyy	4	12	https://raw.githubusercontent.com/ewiener/pace_funding/master/swagger/swagger.json
epoch	4	10	https://raw.githubusercontent.com/tilosradio/web2-backend/master/restapi/src/main/resources/tilos.yaml
google	4	8	https://api.apis.guru/v2/swagger.json
html	4	6	https://raw.githubusercontent.com/6aika/api-paatos/master/paatos.swagger.yaml
int11	4	16	https://raw.githubusercontent.com/guodont/a-tech-backend/master/docs/swagger-atech-api.yaml
latitude,longitude	4	6	https://raw.githubusercontent.com/theSuess/openspotmap/master/api/v0/swagger.yaml
markdown	4	15	https://raw.githubusercontent.com/Welfenlab/tutor-student/master/src/swagger.yaml
md5	4	8	https://raw.githubusercontent.com/Uniceub-Web-Development-2016-2/Caio-Henrique-Menezes/master/easytrip/docs/ET_swagger.yaml
meta:password	4	100	https://raw.githubusercontent.com/corenova/yang-cord/master/swagger.yaml
nested arrays	4	4	https://raw.githubusercontent.com/zalando-incubator/play-swagger/master/swagger-parser/src/test/resources/validations/nested_arrays_validation.yaml
numeric	4	9	https://api.swaggerhub.com/apis/NyKo24/ms-modele/1.0.0
regexp	4	7	https://raw.githubusercontent.com/russell/fairy-slipper-migration/master/conversion_files/compute-v2-swagger.json
udid	4	8	https://raw.githubusercontent.com/VirlanValentin/WADe_UReR/master/swagger_final.yaml
unixtime	4	17	https://raw.githubusercontent.com/Azure/azure-rest-api-specs/master/keyvault/2016-10-01/swagger/keyvault.json
xtype:access-role	4	100	https://raw.githubusercontent.com/corenova/yang-cord/master/swagger.yaml
xtype:unique-identifier	4	143	https://raw.githubusercontent.com/corenova/yang-cord/master/swagger.yaml
yang:date-and-time	4	22	https://raw.githubusercontent.com/corenova/yang-cord/master/swagger.yaml
--delimited string with format {siteID}-{divisi...	3	75	https://raw.githubusercontent.com/oanda/v20-openapi/master/yaml/separate/v20_transaction.yaml
0/1	3	67	https://api.swaggerhub.com/apis/anson/Testing2/0.0.1
>0	3	34	https://api.swaggerhub.com/apis/anson/Testing2/0.0.1
As stored in database	3	3	https://raw.githubusercontent.com/mon0051/Angular2TestHarness/master/swagger/swagger.yaml
Bearer token	3	30	https://api.swaggerhub.com/apis/timfogarty-deluxe/SferaSAP/1.0.0
CLXXXX	3	10	https://raw.githubusercontent.com/mon0051/Angular2TestHarness/master/swagger/swagger.yaml
CLXXXXX	3	9	https://raw.githubusercontent.com/mon0051/Angular2TestHarness/master/swagger/swagger.yaml
Float	3	3	https://raw.githubusercontent.com/Azar06/AWIMarket/master/API-DOC.json
IMSI	3	18	https://raw.githubusercontent.com/soracom/soracom-sdk-swift/master/Whatever/swagger/api-definition/soracom-api.en.json
IOU8061	3	3	https://raw.githubusercontent.com/webwallet/api-old/master/api/swagger/swagger.yaml
ISO 3166-1 alpha-2	3	4	https://raw.githubusercontent.com/cultuurnet/udb3-swagger/master/swagger.json
Int64	3	5	https://raw.githubusercontent.com/Azar06/AWIMarket/master/API-DOC.json
Signed 16-bit integer	3	15	https://raw.githubusercontent.com/PlexConnectAdmin/WindowsFormApplications/master/Swagger%20files/Test/DemandCaster.json
Two letters ISO (de,en)	3	5	https://api.swaggerhub.com/apis/dolice/SitecoreNotifications/1.0.0
Y-m-d	3	8	http://apidoc.apacta.com/swagger.yaml
Y-m-d H:i:s	3	5	https://api.swaggerhub.com/apis/warlock121/pelmennaya-api/1.0.0
^\d+$	3	5	https://api.swaggerhub.com/apis/tanis/as-json_api/1.0.0
application/zip	3	3	https://raw.githubusercontent.com/zagovorichev/swagger-json-collector/master/tests/samples/QtiItem.json
asc/desc	3	3	https://raw.githubusercontent.com/vitush93/mffun/master/docs/api.yaml
base58check	3	6	https://raw.githubusercontent.com/webwallet/api-old/master/api/swagger/swagger.yaml
base64 image	3	3	https://raw.githubusercontent.com/springblock/Chaincore/master/src/BlockEx/BlockExAPI/api/swagger.yaml
big number	3	4	https://raw.githubusercontent.com/webwallet/api-old/master/api/swagger/swagger.yaml
countrycode	3	9	http://learnifier.com/apidocs/learnifier.json
date-Time	3	5	https://api.swaggerhub.com/apis/tiscca/GeschaeftsfallApi/v0.1
extid	3	12	http://learnifier.com/apidocs/learnifier.json
flow/partner_date:time	3	32	https://raw.githubusercontent.com/bochen2014/swagger-cors-support/master/api/swagger.yaml
full-date YYYY-MM-DD	3	39	https://raw.githubusercontent.com/PlexConnectAdmin/WindowsFormApplications/master/Swagger%20files/Test/DemandCaster.json
id64	3	6	http://learnifier.com/apidocs/learnifier.json
int1	3	4	https://api.swaggerhub.com/apis/Kelhen/bluebox-oic_services/1.0.0
int10	3	10	https://api.swaggerhub.com/apis/walker/Tallyfy/1.0.0
mediawiki	3	3	https://raw.githubusercontent.com/wikimedia/mediawiki-services-restbase/master/v1/citoid.yaml
name	3	25	https://raw.githubusercontent.com/PierreRochard/primeng-postgrest/master/index.json
objectId	3	3	https://api.swaggerhub.com/apis/wadehuang36/Tiplr/1.0.0
percentage	3	3	https://raw.githubusercontent.com/zhuliliang/cloudapi/master/src/main/yaml/quotations.yaml
phone-number	3	5	https://api.swaggerhub.com/apis/suesse/SupplyOrders/1
precision	3	3	https://raw.githubusercontent.com/SalesViewer/salesviewer-api/master/swagger/salesviewer-api.swagger.json
regex	3	13	https://raw.githubusercontent.com/stepsic-microsoft-com/ScriptConnector/master/api.json
seconds	3	8	https://raw.githubusercontent.com/webwallet/swagger/master/swagger.yaml
semver	3	32	https://raw.githubusercontent.com/wcatron/ionic-cloud-sdk-php/master/src/API/versions/2.0.0-beta.0/push/swagger.json
signed integer	3	3	https://api.swaggerhub.com/apis/Zied_SIK_SLEM/AC_SDK_PLAY/1.0.0
single	3	6	https://raw.githubusercontent.com/Kensze/Svensk-Fotboll/master/Swagger-export/swagger.json
srtring	3	3	https://api.swaggerhub.com/apis/vlcservices/vlc-talz-dosage-service-v2/1.0.0
stringDcJobsByDate	3	3	https://raw.githubusercontent.com/PlexConnectAdmin/WindowsFormApplications/master/Swagger%20files/Test/DemandCaster.json
textarea	3	4	https://raw.githubusercontent.com/mdsina/selectel-dns-api/master/swagger.json
timeSpan	3	6	https://api.swaggerhub.com/apis/mboriani/board-api/0.0.1
tinyint	3	4	https://api.swaggerhub.com/apis/waden34/StrumAndSip/1.0.0
title	3	3	D:\nodejs\analysis\defs_github_large\wikimedia+restbase@v1-random.yaml
token	3	6	https://raw.githubusercontent.com/Kesshou/Kesshou-Server/master/public/swagger.json
tryte	3	3	https://raw.githubusercontent.com/davad/iota-dashboard/master/config/swagger.yaml
uuidw	3	3	https://raw.githubusercontent.com/a1422020484/apidoc/master/src/main/resources/data/swagger_new.json
whateverformat	3	3	https://raw.githubusercontent.com/farazsid/Test/master/src/ResourceManagement/ApiManagement/ApiManagement.Tests/Resources/SwaggerPetStoreV2.json
xtype:isolation	3	18	https://raw.githubusercontent.com/corenova/yang-cord/master/swagger.yaml
yyyyMMddTHHmmss	3	7	https://api.swaggerhub.com/apis/PALFINGER/PALIPEDIA-BACKEND/1.0
$ref '#/definitions/AppliedDiscount'	2	2	https://api.swaggerhub.com/apis/mrk/qa_api/1.0.0
/^Bearer .+/	2	8	https://raw.githubusercontent.com/blinkboxbooks/reading-service/master/swagger/reading-service-public.yaml
/^[a-z](?:[a-z\-0-9]*[a-z0-9])?$/	2	2	https://raw.githubusercontent.com/immoh/swagger-spec/master/test/resources/swagger-04.yaml
1	2	6	https://api.swaggerhub.com/apis/hnquang112/MLoyalty/2.0.0
10	2	3	https://api.swaggerhub.com/apis/pasavvas/HEWI/0.0.1
12345	2	12	https://api.swaggerhub.com/apis/ncapeta/gpadf/0.0.1
14 символов	2	22	https://api.swaggerhub.com/apis/adaskin.turbotechnology.ru/T9Gate.devel/1.0
16 byte random value	2	2	https://raw.githubusercontent.com/javakisagh/file-cloud-doc/master/swagger.yaml
16 byte string returned by /users/access	2	16	https://raw.githubusercontent.com/javakisagh/file-cloud-doc/master/swagger.yaml
16 hex-символов	2	10	https://api.swaggerhub.com/apis/adaskin.turbotechnology.ru/T9Gate.devel/1.0
20	2	3	https://api.swaggerhub.com/apis/pasavvas/HEWI/0.0.1
A user specifier may have one of 3 formats: the OA...	2	4	https://raw.githubusercontent.com/oanda/v20-openapi/master/yaml/separate/v20_user.yaml
Basic base64 encoded login:password	2	2	https://raw.githubusercontent.com/javakisagh/file-cloud-doc/master/swagger.yaml
Change	2	4	https://raw.githubusercontent.com/Microsoft/tedchambDocTest/master/TedChambDocTest/swagger/Tfvc.json
DD/MM/YYYY	2	3	https://api.swaggerhub.com/apis/hnquang112/MLoyalty/2.0.0
Either the Trade's OANDA-assigned TradeID or the T...	2	4	https://raw.githubusercontent.com/oanda/v20-openapi/master/yaml/separate/v20_trade.yaml
FolderPathQueryOrder	2	2	https://raw.githubusercontent.com/Microsoft/tedchambDocTest/master/TedChambDocTest/swagger/Release.json
GetWorkItemTypeExpand	2	4	https://raw.githubusercontent.com/Microsoft/tedchambDocTest/master/TedChambDocTest/swagger/WorkItemTrackingProcessDefinitions.json
Guid	2	2	https://api.swaggerhub.com/apis/mboriani/board-api/0.0.1
IPv4 Address	2	6	https://api.swaggerhub.com/apis/cisco-ccf-nws/VPNaaS/1.0.0
IPv4 CIDR address	2	6	https://api.swaggerhub.com/apis/cisco-ccf-nws/VPNaaS/1.0.0
ISO 3166-1 alfa 2	2	8	https://api.swaggerhub.com/apis/vmfernandez/your-api/3.0.0
ISO 639-1	2	5	https://api.swaggerhub.com/apis/vmfernandez/your-api/3.0.0
ISO4217:BASE58	2	2	https://raw.githubusercontent.com/webwallet/api-old/master/api/swagger/swagger.yaml
ISO8601	2	8	https://api.swaggerhub.com/apis/kuindji.quantomic/ssocial/1.0.0
Interval of cloud coverage in percent	2	6	https://raw.githubusercontent.com/airbusgeo/api-docs/master/search.yaml
Interval of dates in ISO 8601	2	3	https://raw.githubusercontent.com/airbusgeo/api-docs/master/search.yaml
Interval of incidence angle in degrees	2	3	https://raw.githubusercontent.com/airbusgeo/api-docs/master/search.yaml
Interval of resolution in meter	2	3	https://raw.githubusercontent.com/airbusgeo/api-docs/master/search.yaml
IssuedToken	2	2	https://raw.githubusercontent.com/Microsoft/tedchambDocTest/master/TedChambDocTest/swagger/Identities.json
Locale	2	2	https://raw.githubusercontent.com/frankvanes/dll-swagger/master/swagger-content.json
MIME	2	10	https://api.swaggerhub.com/apis/wuxiuchao/L3VPN-SBI/1.0
